column,column_silver,qid,qname_base,match_method,sub_item,question,parent_question,qtype,selector,force_resp,is_multiselect,value_kind,n_answered,pct_answered,n_distinct,n_options,options,notes
AINextNo change,AINextNoChange,QID320,AINext,prefix,No change,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now?",,Matrix,Likert,FALSE,Y,multiselect,12498,19.1,539,12,"[""Writing code"", ""Search for answers"", ""Debugging and getting help"", ""Generating content or synthetic data"", ""Documenting code"", ""Learning about a codebase"", ""Testing code"", ""Project planning"", ""Committing and reviewing code"", ""Predictive analytics"", ""Deployment and monitoring"", ""Other (please specify):""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AINextMore integrated,AINextMoreIntegrated,QID320,AINext,prefix,More integrated,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now?",,Matrix,Likert,FALSE,Y,multiselect,24428,37.3,884,12,"[""Writing code"", ""Search for answers"", ""Debugging and getting help"", ""Documenting code"", ""Learning about a codebase"", ""Generating content or synthetic data"", ""Testing code"", ""Committing and reviewing code"", ""Project planning"", ""Predictive analytics"", ""Deployment and monitoring"", ""Other (please specify):""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AINextLess integrated,AINextLessIntegrated,QID320,AINext,prefix,Less integrated,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now?",,Matrix,Likert,FALSE,Y,multiselect,2355,3.6,249,12,"[""Writing code"", ""Debugging and getting help"", ""Search for answers"", ""Learning about a codebase"", ""Documenting code"", ""Generating content or synthetic data"", ""Testing code"", ""Project planning"", ""Committing and reviewing code"", ""Deployment and monitoring"", ""Predictive analytics"", ""Other (please specify):""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AINextMuch less integrated,AINextMuchLessIntegrated,QID320,AINext,prefix,Much less integrated,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now?",,Matrix,Likert,FALSE,Y,multiselect,1148,1.8,286,12,"[""Writing code"", ""Search for answers"", ""Learning about a codebase"", ""Debugging and getting help"", ""Documenting code"", ""Generating content or synthetic data"", ""Testing code"", ""Project planning"", ""Committing and reviewing code"", ""Deployment and monitoring"", ""Predictive analytics"", ""Other (please specify):""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AIThreat,AIThreat,QID338,AIThreat,exact,,Do you believe AI is a threat to your current job?,,MC,SAVR,FALSE,N,categorical,44689,68.3,3,3,"[""No"", ""I'm not sure"", ""Yes""]",
AIEthics,AIEthics,QID339,AIEthics,exact,,Which AI ethical responsibilities are most important to you?  Select all that apply.,,MC,MAVR,FALSE,Y,multiselect,41548,63.5,126,7,"[""Circulating misinformation or disinformation"", ""Missing or incorrect attribution for sources of data"", ""Biased results that do not represent diverse viewpoints"", ""Imitating a person's likeness"", ""Energy demand"", ""Replacing jobs without options for new employment opportunities"", ""Other (please specify):""]",
AIChallenges,AIChallenges,QID346,AIChallenges,exact,,What are the challenges to your company/whole team using AI code assistants or GenAI tools? Select all that apply.,,MC,MAVR,FALSE,Y,multiselect,37531,57.4,232,8,"[""Don’t trust the output or answers"", ""AI tools lack context of codebase,  internal architecture, and/or company knowledge"", ""We don’t have the right policies in place to reduce security risks"", ""Lack of proper training and education on new tools"", ""Not everyone uses them"", ""They create more work (more code/PRs to review, etc.)"", ""Lack of executive buy-in"", ""Other (please specify):""]",
TBranch,TBranch,QID299,TBranch,exact,,"<span style=""font-size:16px;"">Would you like to participate in the Professional Developer Series? *</span>",,MC,SAVR,TRUE,N,categorical,44477,68.0,2,2,"[""Yes"", ""No""]",
ICorPM,ICorPM,QID287,ICorPM,exact,,Are you an individual contributor or people manager?,,MC,SAVR,FALSE,N,categorical,29801,45.5,2,2,"[""Individual contributor"", ""People manager""]",
WorkExp,WorkExp,QID288,WorkExp,exact,,How many years of working experience do you have?,,Slider,HSLIDER,FALSE,N,numeric,29658,45.3,51,51,"[""3"", ""5"", ""10"", ""2"", ""4"", ""6"", ""7"", ""8"", ""1"", ""15"", ""12"", ""20"", ""9"", ""11"", ""25"", ""13"", ""14"", ""16"", ""17"", ""18"", ""30"", ""24"", ""19"", ""22"", ""23"", ""26"", ""21"", ""27"", ""35"", ""28"", ""0"", ""40"", ""29"", ""32"", ""33"", ""36"", ""34"", ""31"", ""37"", ""38"", ""50"", ""42"", ""45"", ""39"", ""41"", ""43"", ""44"", ""46"", ""48"", ""47"", ""49""]",
Knowledge_1,Knowledge_1,QID289,Knowledge_1,exact,,I have interactions with people outside of my immediate team.,Please rate your level of agreement with the following statement:,MC,MAVR,NA,N,categorical,28664,43.8,5,5,"[""Agree"", ""Strongly agree"", ""Neither agree nor disagree"", ""Disagree"", ""Strongly disagree""]",
Knowledge_2,Knowledge_2,QID289,Knowledge_2,exact,,"Knowledge silos prevent me from getting ideas across the organization (i.e., one individual or team has information that isn't shared with others)",Please rate your level of agreement with the following statement:,MC,MAVR,NA,N,categorical,28021,42.8,5,5,"[""Agree"", ""Neither agree nor disagree"", ""Disagree"", ""Strongly agree"", ""Strongly disagree""]",
Knowledge_3,Knowledge_3,QID289,Knowledge_3,exact,,I can find up-to-date information within my organization to help me do my job.,Please rate your level of agreement with the following statement:,MC,MAVR,NA,N,categorical,28095,42.9,5,5,"[""Agree"", ""Neither agree nor disagree"", ""Disagree"", ""Strongly agree"", ""Strongly disagree""]",
Knowledge_4,Knowledge_4,QID289,Knowledge_4,exact,,I am able to quickly find answers to my questions with existing tools and resources.,Please rate your level of agreement with the following statement:,MC,MAVR,NA,N,categorical,28030,42.8,5,5,"[""Agree"", ""Neither agree nor disagree"", ""Disagree"", ""Strongly agree"", ""Strongly disagree""]",
Knowledge_5,Knowledge_5,QID289,Knowledge_5,exact,,I know which system or resource to use to find information and answers to questions I have.,Please rate your level of agreement with the following statement:,MC,MAVR,NA,N,categorical,27880,42.6,5,5,"[""Agree"", ""Neither agree nor disagree"", ""Strongly agree"", ""Disagree"", ""Strongly disagree""]",
Knowledge_6,Knowledge_6,QID289,Knowledge_6,exact,,I often find myself answering questions that I’ve already answered before.,Please rate your level of agreement with the following statement:,MC,MAVR,NA,N,categorical,27864,42.6,5,5,"[""Agree"", ""Neither agree nor disagree"", ""Disagree"", ""Strongly agree"", ""Strongly disagree""]",
Knowledge_7,Knowledge_7,QID289,Knowledge_7,exact,,Waiting on answers to questions often causes interruptions and disrupts my workflow.,Please rate your level of agreement with the following statement:,MC,MAVR,NA,N,categorical,27778,42.4,5,5,"[""Agree"", ""Neither agree nor disagree"", ""Disagree"", ""Strongly agree"", ""Strongly disagree""]",
Knowledge_8,Knowledge_8,QID289,Knowledge_8,exact,,I feel like I have the tools and/or resources to quickly understand and work on any area of my company's code/system/platform.,Please rate your level of agreement with the following statement:,MC,MAVR,NA,N,categorical,27758,42.4,5,5,"[""Agree"", ""Neither agree nor disagree"", ""Disagree"", ""Strongly agree"", ""Strongly disagree""]",
Knowledge_9,Knowledge_9,QID289,Knowledge_9,exact,,I have asked my employer to reimburse me for tools or a product that helps me do my job better or faster,Please rate your level of agreement with the following statement:,MC,MAVR,NA,N,categorical,27635,42.2,5,5,"[""Agree"", ""Strongly disagree"", ""Neither agree nor disagree"", ""Disagree"", ""Strongly agree""]",
Frequency_1,Frequency_1,QID290,Frequency_1,exact,,Needing help from people outside of your immediate team?,How frequently do you experience each of the following?,MC,MAVR,NA,N,categorical,28369,43.4,5,5,"[""1-2 times a week"", ""Never"", ""3-5 times a week"", ""6-10 times a week"", ""10+ times a week""]",
Frequency_2,Frequency_2,QID290,Frequency_2,exact,,Interacting with people outside of your immediate team?,How frequently do you experience each of the following?,MC,MAVR,NA,N,categorical,28364,43.3,5,5,"[""1-2 times a week"", ""3-5 times a week"", ""10+ times a week"", ""6-10 times a week"", ""Never""]",
Frequency_3,Frequency_3,QID290,Frequency_3,exact,,Encountering knowledge silos (where one individual or team has information that's not shared or distributed with other individuals or teams) at work?,How frequently do you experience each of the following?,MC,MAVR,NA,N,categorical,27710,42.3,5,5,"[""1-2 times a week"", ""Never"", ""3-5 times a week"", ""6-10 times a week"", ""10+ times a week""]",
TimeSearching,TimeSearching,QID291,TimeSearching,exact,,"On an average day, how much time do you typically spend searching for answers or solutions to problems you encounter at work? (This includes time spent searching on your own, asking a colleague, and waiting for a response).",,MC,SAVR,FALSE,N,categorical,28911,44.2,5,5,"[""30-60 minutes a day"", ""15-30 minutes a day"", ""60-120 minutes a day"", ""Less than 15 minutes a day"", ""Over 120 minutes a day""]",
TimeAnswering,TimeAnswering,QID292,TimeAnswering,exact,,"On an average day, how much time do you typically spend answering questions you get asked at work?",,MC,SAVR,FALSE,N,categorical,28844,44.1,5,5,"[""15-30 minutes a day"", ""30-60 minutes a day"", ""Less than 15 minutes a day"", ""60-120 minutes a day"", ""Over 120 minutes a day""]",
Frustration,Frustration,QID342,Frustration,exact,,Which of these company challenges causes you the most frustration? Select all that apply.,,MC,MAVR,FALSE,Y,multiselect,28251,43.2,954,11,"[""Amount of technical debt"", ""Complexity of tech stack for build"", ""Complexity of tech stack for deployment"", ""Reliability of tools/systems used in work"", ""Tracking my work"", ""Patching/updating core components"", ""Number of software tools in use"", ""Showing my contributions"", ""Maintaining security of code being produced"", ""Maintaining security of systems/platforms used in work"", ""None of these""]",
ProfessionalTech,ProfessionalTech,QID304,ProfessionalTech,exact,,My company has:,,MC,MAVR,FALSE,Y,multiselect,27764,42.4,514,10,"[""Continuous integration (CI) and (more often) continuous delivery"", ""DevOps function"", ""Automated testing"", ""Microservices"", ""Knowledge sharing community"", ""Observability tools"", ""AI-assisted technology tool(s)"", ""Developer portal or other central places to find tools/services"", ""Innersource initiative"", ""None of these""]",
ProfessionalCloud,ProfessionalCloud,QID332,ProfessionalCloud,exact,,"At my company, our applications, databases and services are hosted:",,MC,SAVR,FALSE,N,categorical,28491,43.5,3,3,"[""Hybrid (on-prem and cloud)"", ""Cloud only (single or multi-cloud)"", ""On-prem""]",
ProfessionalQuestion,ProfessionalQuestion,QID333,ProfessionalQuestion,exact,,"When you have a technical question at work, where do you first go to get an answer?",,MC,SAVR,FALSE,N,categorical,28807,44.0,9,9,"[""Traditional public search engine"", ""A coworker"", ""AI-powered search (free)"", ""AI-powered search (paid)"", ""Slack search"", ""Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)"", ""Internal Developer portal"", ""Other:"", ""Microsoft Teams search""]",
Industry,Industry,QID326,Industry,exact,,What industry is the company you work for in?,,MC,SAVR,FALSE,N,categorical,28858,44.1,15,15,"[""Software Development"", ""Other:"", ""Fintech"", ""Internet, Telecomm or Information Services"", ""Banking/Financial Services"", ""Healthcare"", ""Manufacturing"", ""Retail and Consumer Services"", ""Government"", ""Media & Advertising Services"", ""Higher Education"", ""Transportation, or Supply Chain"", ""Computer Systems Design and Services"", ""Energy"", ""Insurance""]",
JobSatPoints_1,JobSatPoints_1,QID337,JobSatPoints_1,exact,,Driving strategy for my team,Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,MC,MAVR,NA,N,numeric,29324,44.8,91,91,"[""0"", ""10"", ""20"", ""5"", ""30"", ""15"", ""50"", ""25"", ""80"", ""100"", ""40"", ""90"", ""70"", ""60"", ""8"", ""7"", ""35"", ""75"", ""1"", ""2"", ""9"", ""6"", ""3"", ""4"", ""12"", ""85"", ""45"", ""95"", ""33"", ""11"", ""13"", ""65"", ""18"", ""14"", ""22"", ""55"", ""16"", ""17"", ""19"", ""99"", ""23"", ""34"", ""24"", ""32"", ""28"", ""88"", ""78"", ""98"", ""12.5"", ""79"", ""76"", ""68"", ""56"", ""69"", ""89"", ""87"", ""26"", ""38"", ""21"", ""66"", ""86"", ""37"", ""49"", ""44"", ""31"", ""81"", ""27"", ""96"", ""77"", ""29"", ""97"", ""71"", ""67"", ""36"", ""43"", ""74"", ""63"", ""3.75"", ""83"", ""91"", ""57"", ""37.5"", ""47"", ""8.5"", ""7.5"", ""61"", ""39"", ""2.5"", ""13.5"", ""18.75"", ""52""]",
JobSatPoints_4,JobSatPoints_4,QID337,JobSatPoints_4,exact,,Contributing to open source,Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,MC,MAVR,NA,N,numeric,29393,44.9,72,72,"[""0"", ""10"", ""5"", ""20"", ""50"", ""30"", ""15"", ""100"", ""2"", ""1"", ""40"", ""25"", ""80"", ""70"", ""60"", ""90"", ""3"", ""8"", ""4"", ""6"", ""7"", ""75"", ""12"", ""35"", ""9"", ""11"", ""13"", ""95"", ""14"", ""45"", ""85"", ""18"", ""17"", ""23"", ""99"", ""55"", ""65"", ""33"", ""22"", ""24"", ""19"", ""16"", ""89"", ""34"", ""32"", ""21"", ""26"", ""56"", ""51"", ""88"", ""77"", ""98"", ""69"", ""44"", ""49"", ""67"", ""79"", ""27"", ""9.5"", ""87"", ""28"", ""12.5"", ""63"", ""3.75"", ""92"", ""76"", ""86"", ""66"", ""94"", ""52"", ""68"", ""2.5""]",
JobSatPoints_5,JobSatPoints_5,QID337,JobSatPoints_5,exact,,Securing data and environments,Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,MC,MAVR,NA,N,numeric,29411,44.9,78,78,"[""0"", ""10"", ""5"", ""20"", ""50"", ""15"", ""100"", ""80"", ""30"", ""70"", ""90"", ""60"", ""2"", ""40"", ""8"", ""1"", ""7"", ""25"", ""3"", ""6"", ""4"", ""9"", ""75"", ""12"", ""11"", ""85"", ""95"", ""35"", ""65"", ""99"", ""13"", ""16"", ""14"", ""18"", ""22"", ""33"", ""45"", ""98"", ""17"", ""66"", ""89"", ""55"", ""23"", ""21"", ""19"", ""12.5"", ""69"", ""74"", ""78"", ""77"", ""24"", ""32"", ""56"", ""88"", ""27"", ""3.75"", ""57"", ""91"", ""97"", ""86"", ""76"", ""84"", ""63"", ""39"", ""96"", ""73"", ""8.5"", ""67"", ""3.125"", ""87"", ""7.5"", ""34"", ""36"", ""44"", ""9.5"", ""26"", ""68"", ""64""]",
JobSatPoints_6,JobSatPoints_6,QID337,JobSatPoints_6,exact,,Improving quality of code and developer environments,Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,MC,MAVR,NA,N,numeric,29450,45.0,93,93,"[""0"", ""20"", ""10"", ""30"", ""15"", ""25"", ""50"", ""40"", ""100"", ""80"", ""5"", ""90"", ""60"", ""70"", ""35"", ""8"", ""75"", ""7"", ""9"", ""12"", ""45"", ""95"", ""85"", ""18"", ""6"", ""33"", ""2"", ""17"", ""65"", ""1"", ""13"", ""3"", ""16"", ""11"", ""22"", ""14"", ""55"", ""4"", ""23"", ""99"", ""19"", ""28"", ""34"", ""24"", ""21"", ""27"", ""26"", ""29"", ""78"", ""32"", ""88"", ""12.5"", ""87"", ""98"", ""77"", ""89"", ""37"", ""36"", ""86"", ""56"", ""31"", ""81"", ""68"", ""43"", ""97"", ""67"", ""76"", ""33.3"", ""69"", ""66"", ""61"", ""52"", ""64"", ""17.5"", ""33.33"", ""54"", ""57"", ""91"", ""51"", ""41"", ""82"", ""63"", ""39"", ""94"", ""42"", ""96"", ""73"", ""44"", ""74"", ""46"", ""49"", ""6.25"", ""48""]",
JobSatPoints_7,JobSatPoints_7,QID337,JobSatPoints_7,exact,,"Learning and using new technology, including platforms, APIs and libraries",Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,MC,MAVR,NA,N,numeric,29448,45.0,91,91,"[""0"", ""20"", ""10"", ""30"", ""15"", ""25"", ""5"", ""50"", ""100"", ""40"", ""80"", ""90"", ""70"", ""60"", ""35"", ""8"", ""75"", ""9"", ""7"", ""12"", ""85"", ""95"", ""18"", ""33"", ""45"", ""6"", ""1"", ""3"", ""4"", ""13"", ""14"", ""17"", ""2"", ""16"", ""65"", ""11"", ""22"", ""55"", ""99"", ""23"", ""19"", ""24"", ""27"", ""26"", ""28"", ""21"", ""34"", ""32"", ""98"", ""89"", ""44"", ""37"", ""12.5"", ""29"", ""92"", ""87"", ""88"", ""56"", ""91"", ""69"", ""68"", ""31"", ""48"", ""46"", ""39"", ""97"", ""78"", ""33.3"", ""36"", ""54"", ""72"", ""38"", ""82"", ""42"", ""17.5"", ""18.5"", ""94"", ""83"", ""61"", ""3.125"", ""33.33"", ""96"", ""73"", ""77"", ""51"", ""93"", ""81"", ""18.75"", ""86"", ""49"", ""67""]",
JobSatPoints_8,JobSatPoints_8,QID337,JobSatPoints_8,exact,,"Designing and building environments, databases, and all things architecture",Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,MC,MAVR,NA,N,numeric,29456,45.0,89,89,"[""0"", ""20"", ""10"", ""30"", ""15"", ""5"", ""25"", ""50"", ""100"", ""40"", ""80"", ""90"", ""70"", ""60"", ""35"", ""8"", ""7"", ""75"", ""12"", ""9"", ""2"", ""1"", ""95"", ""6"", ""3"", ""18"", ""4"", ""45"", ""85"", ""33"", ""14"", ""11"", ""17"", ""16"", ""65"", ""22"", ""13"", ""99"", ""23"", ""55"", ""34"", ""24"", ""28"", ""27"", ""19"", ""29"", ""77"", ""66"", ""21"", ""12.5"", ""88"", ""67"", ""98"", ""42"", ""26"", ""38"", ""89"", ""69"", ""79"", ""62"", ""97"", ""68"", ""49"", ""76"", ""32"", ""44"", ""37"", ""78"", ""57"", ""83"", ""43"", ""87"", ""33.33"", ""33.3"", ""84"", ""92"", ""7.5"", ""86"", ""58"", ""67.5"", ""93"", ""47"", ""59"", ""56"", ""31"", ""94"", ""39"", ""53"", ""36""]",
JobSatPoints_9,JobSatPoints_9,QID337,JobSatPoints_9,exact,,"Being a power user of a tool, developer language or process that others come to for answers and guidance about",Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,MC,MAVR,NA,N,numeric,29456,45.0,85,85,"[""0"", ""10"", ""20"", ""5"", ""15"", ""30"", ""50"", ""100"", ""25"", ""80"", ""40"", ""70"", ""90"", ""60"", ""8"", ""7"", ""2"", ""9"", ""75"", ""3"", ""1"", ""35"", ""6"", ""12"", ""95"", ""4"", ""85"", ""18"", ""11"", ""13"", ""45"", ""65"", ""14"", ""17"", ""55"", ""16"", ""22"", ""33"", ""99"", ""23"", ""19"", ""34"", ""88"", ""24"", ""98"", ""21"", ""26"", ""67"", ""32"", ""12.5"", ""69"", ""89"", ""76"", ""28"", ""92"", ""66"", ""77"", ""27"", ""31"", ""29"", ""2.5"", ""71"", ""68"", ""44"", ""37"", ""91"", ""82"", ""97"", ""42"", ""59"", ""56"", ""6.5"", ""86"", ""6.25"", ""58"", ""87"", ""79"", ""14.5"", ""3.75"", ""93"", ""81"", ""1.5"", ""9.5"", ""53"", ""33.3""]",
JobSatPoints_10,JobSatPoints_10,QID337,JobSatPoints_10,exact,,Working with new and/or top-quality hardware,Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,MC,MAVR,NA,N,numeric,29450,45.0,75,75,"[""0"", ""10"", ""5"", ""20"", ""100"", ""15"", ""50"", ""30"", ""80"", ""90"", ""70"", ""60"", ""40"", ""1"", ""25"", ""2"", ""8"", ""3"", ""7"", ""9"", ""6"", ""75"", ""4"", ""12"", ""85"", ""95"", ""11"", ""65"", ""35"", ""14"", ""16"", ""13"", ""99"", ""18"", ""17"", ""55"", ""33"", ""45"", ""69"", ""88"", ""19"", ""22"", ""23"", ""89"", ""98"", ""12.5"", ""21"", ""77"", ""78"", ""87"", ""54"", ""66"", ""92"", ""67"", ""96"", ""93"", ""57"", ""81"", ""26"", ""82"", ""28"", ""84"", ""6.25"", ""63"", ""14.5"", ""43"", ""97"", ""79"", ""32"", ""49"", ""34"", ""94"", ""24"", ""1.5"", ""74""]",
JobSatPoints_11,JobSatPoints_11,QID337,JobSatPoints_11,exact,,A well-staffed/sourced internal network that makes observability easy so network or runtime issues are addressed and fixed easily,Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,MC,MAVR,NA,N,numeric,29445,45.0,79,79,"[""0"", ""10"", ""5"", ""20"", ""50"", ""15"", ""100"", ""30"", ""80"", ""60"", ""90"", ""70"", ""40"", ""1"", ""8"", ""2"", ""25"", ""3"", ""7"", ""6"", ""9"", ""4"", ""75"", ""12"", ""11"", ""85"", ""95"", ""35"", ""14"", ""65"", ""13"", ""45"", ""18"", ""16"", ""55"", ""17"", ""99"", ""22"", ""66"", ""19"", ""89"", ""98"", ""88"", ""24"", ""32"", ""67"", ""77"", ""34"", ""76"", ""12.5"", ""97"", ""33"", ""29"", ""78"", ""21"", ""42"", ""94"", ""44"", ""86"", ""79"", ""87"", ""64"", ""69"", ""84"", ""68"", ""31"", ""53"", ""37"", ""36"", ""28"", ""54"", ""7.5"", ""26"", ""71"", ""96"", ""37.5"", ""73"", ""59"", ""49""]",
SurveyLength,SurveyLength,QID132,SurveyLength,exact,,How do you feel about the length of the survey this year?,,MC,MAVR,FALSE,N,categorical,56182,85.9,3,3,"[""Appropriate in length"", ""Too long"", ""Too short""]",
SurveyEase,SurveyEase,QID133,SurveyEase,exact,,How easy or difficult was this survey to complete?,,MC,MAVR,FALSE,N,categorical,56238,85.9,3,3,"[""Easy"", ""Neither easy nor difficult"", ""Difficult""]",
ConvertedCompYearly,ConvertedCompYearly,,,unmatched,,,,,,,N,numeric,23435,35.8,6113,6113,,CompTotal+Currency를 SO가 USD 연봉으로 환산한 파생 컬럼. 설문 문항 아님. 환율 기준일은 미공개.
JobSat,JobSat,QID336,JobSat,exact,,How satisfied are you in your current professional developer role?,,MC,NPS,FALSE,N,numeric,29126,44.5,11,11,"[""8"", ""7"", ""6"", ""9"", ""10"", ""5"", ""3"", ""4"", ""2"", ""0"", ""1""]",
,AgeNum,,Age,derived,,Age 를 순서형 숫자로 인코딩한 파생 컬럼 (전처리 1단계에서 생성),,,,,,numeric,,,,,,
,EdLevelNum,,EdLevel,derived,,EdLevel 를 순서형 숫자로 인코딩한 파생 컬럼 (전처리 1단계에서 생성),,,,,,numeric,,,,,,
,OrgSizeNum,,OrgSize,derived,,OrgSize 를 순서형 숫자로 인코딩한 파생 컬럼 (전처리 1단계에서 생성),,,,,,numeric,,,,,,
,SOVisitFreqNum,,SOVisitFreq,derived,,SOVisitFreq 를 순서형 숫자로 인코딩한 파생 컬럼 (전처리 1단계에서 생성),,,,,,numeric,,,,,,
